year,type,0
1992,340,3
1993,330,2
1993,340,21
1994,330,14
1994,340,25
1995,330,26
1995,340,17
1996,330,7
1996,340,27
1997,330,17
1997,340,32
1998,330,21
1998,340,24
1999,330,46
1999,340,18
2000,330,41
2000,340,22
2001,330,33
2001,340,21
2002,330,41
2002,340,15
2003,330,31
2003,340,37
2004,330,44
2004,340,24
2005,330,57
2005,340,23
2006,330,63
2006,340,23
2006,380,2
2007,330,63
2007,340,11
2007,380,3
2008,330,74
2008,340,17
2008,380,11
2009,330,81
2009,340,8
2009,380,14
2010,330,76
2010,340,4
2010,380,21
2011,330,85
2011,380,25
2012,330,89
2012,380,25
2013,330,104
2013,380,29
2014,330,98
2014,350,1
2014,380,30
2015,330,97
2015,350,15
2015,380,26
2016,330,64
2016,350,48
2016,380,25
2017,330,67
2017,350,81
2017,380,15
2018,330,49
2018,350,95
2018,380,10
2019,330,52
2019,350,107
2019,380,6
2020,330,20
2020,350,66
2020,380,4
2021,330,19
2021,350,60
2021,380,2
2022,330,23
2022,350,54
